title,company,location,salary,job_type,posted_date,source
Data Analyst,Felix,Uruguay,competitive salary with stock options and bonuses,full_time,2025-11-17 18:51:20,Remotive
Senior People Analytics Analyst,Delinea,USA,competitive salary with bonus and benefits,full_time,2025-11-17 18:51:20,Remotive
Data Scientist,Felix,Argentina,competitive salary with stock options and bonuses,full_time,2025-11-17 18:51:20,Remotive
Senior Business Analyst,Archer Education,USA,"75,000 - 90,000 k / per year",full_time,2025-11-17 18:51:19,Remotive
Project Research & Due Diligence,Binance,Singapore,competitive salary and company benefits,full_time,2025-11-16 16:51:01,Remotive
Business Support Executive - Data Visualisation & Dashboard,Smart Pa,South Africa,"£30,000 - £40,000 depending on experience",full_time,2025-11-16 16:51:01,Remotive
Oracle Business Systems Analyst,Discord,USA,"$124,000 to $139,500 + equity + benefits",full_time,2025-11-16 16:51:00,Remotive
Data Scientist 1,"Adswerve, Inc.",USA,"$95,000 - $115,000 per year",full_time,2025-11-16 16:51:00,Remotive
Data Scientist Junior,NielsenIQ,Mexico,"304,800.00 mxn annually",full_time,2025-11-15 14:50:57,Remotive
Senior Data Specialist,HopHR,LATAM,competitive usd hourly rates aligned to experience,contract,2025-11-15 14:50:56,Remotive
Data Architect,Shape Your Future with Us,"Romania, Serbia",N/A,freelance,2025-11-15 14:50:53,Remotive
Business Analyst,RemoteVA,"Philippines, Pakistan",N/A,part_time,2025-11-13 8:50:35,Remotive
Power BI Developer,TrilogyFederal,USA,N/A,full_time,2025-11-12 22:51:41,Remotive
Operations Analyst,GHX,USA,"$87,400 - $116,500",full_time,2025-11-12 20:50:18,Remotive
Solutions Analyst,Patterndata,USA,"$90,000-$115,000 per year plus commission",full_time,2025-11-12 6:50:52,Remotive
Senior Business Analyst,Ocrolus,India,N/A,full_time,2025-11-11 22:50:23,Remotive
Sr. Business Analyst,GovCIO,USA,"usd 105,000 - 112,000 per year",full_time,2025-11-11 18:50:11,Remotive
Analytics Engineer,Descript,USA,"$170,000- $208,000/year",full_time,2025-11-11 6:50:39,Remotive
Data Scientist,MLabs,"USA, Canada",$150k - $200k,full_time,2025-11-11 2:50:49,Remotive
Strategy Analyst,Mcgovern,USA,"$75,000 - $105,000",full_time,2025-11-10 16:51:04,Remotive
Team Lead (m/f/x) Maintenance,AUTODOC SE,Berlin,Not specified,berufserfahren,1763571695,Arbeitnow
IT Supporter / On-Site Engineer,INT Informatik Nachrichtentechnik GmbH,Nuremberg,Not specified,N/A,1763568092,Arbeitnow
Founding Product Manager (AI-First) F/M/D,Tekkr,Berlin,Not specified,professional / experienced,1763568091,Arbeitnow
Teamleitung Automatisierung,KUHN GmbH,Höpfingen,Not specified,N/A,1763566292,Arbeitnow
Senior Data Analyst (f/m/d),ZENJOB,"Berlin, Berlin, Germany",Not specified,N/A,1763563520,Arbeitnow
HR Automation/RPA Analyst (m/f/d) - HR Digital Transformation,Flix,"Berlin, Berlin, Germany",Not specified,N/A,1763563518,Arbeitnow
Datawarehouse/DWH-Entwickler (w/m/d),strategie:p personalberatung,Oldenburg,Not specified,N/A,1763562708,Arbeitnow
Senior Machine Learning Engineer (Computer Vision),Airteam Aerial Intelligence GmbH,Berlin,Not specified,N/A,1763557308,Arbeitnow
Cloud & DevOps Engineer (m/w/d),ARES Consulting GmbH,Munich,Not specified,N/A,1763551932,Arbeitnow
(Senior) Solution Engineer SaaS (m/w/d),Working Talent Deutschland GmbH,Berlin,Not specified,berufserfahren,1763550097,Arbeitnow
Area Manager Retail (all Genders) Fashion Brand Hessen/RP/Saarland,FLÄCHENHELDEN KG,Trier,Not specified,berufserfahren,1763550097,Arbeitnow
(Senior) Solution Engineer (m/w/d) - Software Startup,hellomateo,Berlin,Not specified,N/A,1763550096,Arbeitnow
Area Manager Retail (all Genders) Fashion Brand Hessen/RP/Saarland,FLÄCHENHELDEN KG,Saarbrücken,Not specified,N/A,1763550095,Arbeitnow
Area Manager Retail (all Genders) Fashion Brand Hessen/RP/Saarland,FLÄCHENHELDEN KG,Frankfurt,Not specified,berufserfahren,1763550092,Arbeitnow
Senior Fullstack Engineer (all genders),EDTELLIGENT,Munich,Not specified,professional / experienced,1763546479,Arbeitnow
Trainee Digital Marketing & Performance Advertising (m/w/d),luna-park GmbH - Digital Marketing Agentur,Cologne,Not specified,berufseinstieg,1763544687,Arbeitnow
Machine Learning Engineer (m/f/d),Green Fusion GmbH,Berlin,Not specified,professional / experienced,1763544686,Arbeitnow
Senior Data Scientist,Tech Corp,"San Francisco, CA","$120,000 - $180,000",Full-time,2025-11-19,Sample Data
Machine Learning Engineer,AI Solutions,"New York, NY","$130,000 - $200,000",Full-time,2025-11-19,Sample Data
Data Analyst,Data Insights Inc,Remote,"$80,000 - $110,000",Full-time,2025-11-19,Sample Data
Business Intelligence Developer,Analytics Pro,"London, UK","£60,000 - £85,000",Full-time,2025-11-19,Sample Data
Data Engineering Lead,BigData Systems,"Berlin, Germany","€90,000 - €120,000",Full-time,2025-11-19,Sample Data
